Brand,Model,Width,Height,LeftSoftkey,RightSoftkey,Middle,Up,Down,Left,Right
Audiovox,CDM-8450,128,96,-6,-7,-5,-1,-2,-3,-4
Audiovox,CDM-8615,128,132,-6,-7,-5,-1,-2,-3,-4
Audiovox,CDM-8900,128,132,-20,-21,-5,-10,-11,-12,-13
Audiovox,CDM-8910,128,132,-6,-7,-5,-1,-2,-3,-4
Audiovox,PM-8920,128,132,-6,-7,-5,-1,-2,-3,-4
HTC,Star Trek,240,266,57345,57346,13,-57377,-57378,-57379,-57380
HTC,P3600/Esmertec Jbed,240,320,-6,-7,-5,-1,-2,-3,-4
LG,C1500,128,128,-202,-203,-5,-1,-2,-3,-4
LG,C2000,128,160,-202,-203,-5,-1,-2,-3,-4
LG,CU400,176,220,-6,-7,-5,-1,-2,-3,-4
LG,FT200,128,160,-202,-203,-5,-1,-2,-3,-4
LG,KG800,176,220,-202,-203,-5,-1,-2,-3,-4
LG,U8290,176,220,-6,-7,-5,-1,-2,-3,-4
LG,VX8100,176,203,-20,-21,8,-1,-2,-3,-4
LG,X350,320,240,-6,-7,-5,-1,-2,-3,-4
Motorola,A1000,208,320,-11,-22,-10,-1,-6,-2,-5
Motorola,C450,96,65,-20,-21,-14,-10,-11,-13,-12
Motorola,C650,128,116,-21,-22,-20,-1,-6,-2,-5
Motorola,Capri,176,205,-21,-22,-20,-1,-6,-2,-5
Motorola,E1000,240,320,-21,-22,-8,-1,-6,-2,-5
Motorola,E398,176,204,-21,-22,-20,-1,-6,-2,-5
Motorola,L2 (V270),128,149,-21,-22,-20,-1,-6,-2,-5
Motorola,L6,128,149,-21,-22,-20,-1,-6,-2,-5
Motorola,PEBL U6 (V6),176,204,-21,-22,-20,-1,-6,-2,-5
Motorola,RAZR V3,176,204,-21,-22,-20,-1,-6,-2,-5
Motorola,RAZR V3i,176,204,-21,-22,-20,-1,-6,-2,-5
Motorola,ROKR E1 (E790),176,204,-21,-22,-20,-1,-6,-2,-5
Motorola,SLVR L7 (Royale_V8),176,204,-21,-22,-20,-1,-6,-2,-5
Motorola,U6/V500/V545/V547,176,204,-21,-22,-8,-1,-6,-2,-5
Motorola,V180,128,116,-21,-22,-20,-1,-6,-2,-5
Motorola,V190,128,149,-21,-22,-20,-1,-6,-2,-5
Motorola,V220,128,116,-21,-22,20,1,6,2,5
Motorola,V262,128,116,-7,-8,-5,-1,-2,-3,-4
Motorola,V300,176,204,21,22,20,1,6,2,5
Motorola,V330,176,204,-21,-22,-20,-1,-6,-2,-5
Motorola,V360,176,204,-21,-22,-20,-1,-6,-2,-5
Motorola,V360_V3_PEBL,176,204,-21,-22,-8,-1,-6,-2,-5
Motorola,V365,176,204,-21,-22,-20,-1,-6,-2,-5
Motorola,V400,176,204,21,22,20,1,6,2,5
Motorola,V500,176,204,21,22,-20,-1,-6,-2,-5
Motorola,V525,176,204,21,22,-20,-1,-6,-2,-5
Motorola,V550,176,204,-21,-22,-20,-1,-6,-2,-5
Motorola,V551,176,204,-21,-22,-20,-1,-6,-2,-5
Motorola,V557,176,204,-21,-22,-20,-1,-6,-2,-5
Motorola,V600,176,204,21,22,20,1,6,2,5
Motorola,V635,176,204,-21,-22,-20,-1,-6,-2,-5
Motorola,V980,176,204,21,22,20,1,6,2,5
Motorola,i265/i275,130,130,-20,-21,-23,-10,-11,-13,-12
Motorola,i285,96,65,-20,-21,-23,-10,-11,-13,-12
Motorola,i325,96,65,-20,-21,-23,-10,-11,-13,-12
Motorola,i605,176,206,-20,-21,-23,-10,-11,-13,-12
Motorola,i670,130,130,-20,-21,-23,-10,-11,-13,-12
Motorola,i730/i710,130,130,-20,-21,-23,-10,-11,-13,-12
Motorola,i830/i830e,130,130,-20,-21,-23,-10,-11,-13,-12
Motorola,i860,176,206,-20,-21,-23,-10,-11,-13,-12
Motorola,Triplets,176,204,-21,-22,-8,-1,-6,-2,-5
Nokia,3220,128,128,-6,-7,-5,-1,-2,-3,-4
Nokia,3410,96,65,-6,-7,-5,-1,-2,-3,-4
Nokia,3510i,96,65,-6,-7,-5,-1,-2,-3,-4
Nokia,5800,360,640,-6,-7,-5,-1,-2,-3,-4
Nokia,6030,128,128,-6,-7,-5,-1,-2,-3,-4
Nokia,6061,128,160,-6,-7,-5,-1,-2,-3,-4
Nokia,6101,128,160,-6,-7,-5,-1,-2,-3,-4
Nokia,6102,128,160,-6,-7,-5,-1,-2,-3,-4
Nokia,6102i,128,160,-6,-7,-5,-1,-2,-3,-4
Nokia,6230,128,128,-6,-7,-5,-1,-2,-3,-4
Nokia,6282,240,320,-6,-7,-5,-1,-2,-3,-4
Nokia,6630,176,208,-6,-7,-5,-1,-2,-3,-4
Nokia,6670,176,208,-6,-7,-5,-1,-2,-3,-4
Nokia,7260,128,128,-6,-7,-5,-1,-2,-3,-4
Nokia,7610,176,208,-6,-7,-5,-1,-2,-3,-4
Nokia,8801,208,208,-6,-7,-5,-1,-2,-3,-4
Nokia,E6-00,640,480,-6,-7,-5,-1,-2,-3,-4
Nokia,E71,320,240,-6,-7,-5,-1,-2,-3,-4
Nokia,N71,240,320,-6,-7,-5,-1,-2,-3,-4
Nokia,N80,352,416,-6,-7,-5,-1,-2,-3,-4
Nokia,6270/6280,240,320,-6,-7,-5,-1,-2,-3,-4
Nokia,6610i/6030/6230/7250,128,128,-6,-7,-5,-1,-2,-3,-4
Nokia,7650,176,208,-6,-7,-5,-1,-2,-3,-4
Nokia,Series 30,96,65,-6,-7,-5,-1,-2,-3,-4
Nokia,Series 40,128,128,-6,-7,-5,-1,-2,-3,-4
Nokia,Series 60,176,208,-6,-7,-5,-1,-2,-3,-4
Panasonic,VS3,240,320,-21,-22,-5,-1,-2,-3,-4
Sagem,myV-55,128,142,-7,-6,-5,-1,-2,-3,-4
Sagem,myX5,128,142,-7,-6,-5,-1,-2,-3,-4
Samsung,C417,128,160,-6,-7,-5,-1,-2,-3,-4
Samsung,D807,176,220,-6,-7,-5,-1,-2,-3,-4
Samsung,E700,128,144,21,22,-5,-1,-2,-3,-4
Samsung,GT-M2510,176,220,-6,-7,-5,-1,-2,-3,-4
Samsung,i6220,240,400,-6,-7,-5,-1,-2,-3,-4
Samsung,SCH-A950,176,220,-6,-7,-5,-1,-2,-3,-4
Samsung,SGH-D347,128,160,-6,-7,-5,-1,-2,-3,-4
Samsung,SGH-D357,128,160,-6,-7,-5,-1,-2,-3,-4
Samsung,SGH-D407,128,160,-6,-7,-5,-1,-2,-3,-4
Samsung,SGH-D500,176,220,-6,-7,-5,-1,-2,-3,-4
Samsung,SGH-E315,128,160,-6,-7,-5,-1,-2,-3,-4
Samsung,SGH-E316,128,160,-6,-7,-5,-1,-2,-3,-4
Samsung,SGH-E317,128,160,-6,-7,-5,-1,-2,-3,-4
Samsung,SGH-E360/SGH-X460,128,160,21,22,-5,-1,-2,-3,-4
Samsung,SGH-L760,176,189,-6,-7,-5,-1,-2,-3,-4
Samsung,SGH-P207,176,220,-6,-7,-5,-1,-2,-3,-4
Samsung,SGH-T309,128,160,-6,-7,-5,-1,-2,-3,-4
Samsung,SGH-T719,176,220,-6,-7,-5,-1,-2,-3,-4
Samsung,SGH-X427m,128,160,-6,-7,-5,-1,-2,-3,-4
Samsung,SGH-X507,128,160,-7,-6,-5,-1,-2,-3,-4
Samsung,SGH-ZX10,176,205,-6,-7,-5,-1,-2,-3,-4
Samsung,SGH-ZX20,176,205,-6,-7,-5,-1,-2,-3,-4
Samsung,T619,176,220,-6,-7,-5,-1,-2,-3,-4
Samsung,T709,176,220,-6,-7,-5,-1,-2,-3,-4
Samsung,A620,128,146,-8,-7,-5,-1,-2,-3,-4
Samsung,SGH-D600/SGH-D800,240,320,-8,-7,-5,-1,-2,-3,-4
Samsung,Z500,176,220,-8,-7,-5,-1,-2,-3,-4
Sanyo,2300/4920/4930,128,96,21,22,8,1,6,2,5
Sanyo,5500/7300/8200,132,144,-6,-7,8,1,6,2,5
Sanyo,7400/7500/8300,176,220,-8,-7,-5,-1,-2,-3,-4
Sanyo,8100,120,112,-8,-7,-5,-1,-2,-3,-4
Sharp,GX10,120,130,21,22,8,1,6,2,5
Sharp,GX15,120,147,-21,-22,-20,-1,-6,-2,-5
Sharp,GX20,120,130,21,22,8,1,6,2,5
Sharp,GX30,120,130,21,22,8,1,6,2,5
Siemens,C65,130,130,-1,-4,-26,-59,-60,-61,-62
Siemens,CV65,130,130,-1,-4,-26,-59,-60,-61,-62
Siemens,CX65,132,176,-1,-4,-26,-59,-60,-61,-62
Siemens,SF65,128,160,105,106,-5,-59,-60,-61,-62
Siemens,SL45i,101,80,-1,-4,-26,-59,-60,-61,-62
Siemens,SL55,101,80,-1,-4,-26,-59,-60,-61,-62
Sony Ericsson,F500i,128,160,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,J300a,128,128,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,J300i,128,128,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,K300a,128,128,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,K500/Z520i,128,160,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,K500i,128,160,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,K510i,128,160,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,K700,176,220,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,K700i,176,220,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,K750,176,220,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,K800,240,320,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,S700,240,320,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,S700i,240,320,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,V800,176,220,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,W600,176,220,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,W810i,176,220,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,W900i,240,320,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,z500a,128,160,-6,-7,-5,-1,-2,-3,-4
Sony Ericsson,z525,128,160,-6,-7,-5,-1,-2,-3,-4
Sun,Wireless Toolkit,240,320,-6,-7,-5,-1,-2,-3,-4
